Price,Close,High,Low,Open,Volume,rsi,macd,bb_high,bb_low,bb_width,return,target
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,,,,,,,
Date,,,,,,,,,,,,
2019-09-18,1663.95556640625,1677.3730960692967,1654.3586880865266,1673.3251400118227,751391,52.54971926202353,-4.806684467917073,1712.5157267363545,1634.111726876927,4.685552900414803,-0.008992948783974053,0
2019-09-19,1648.99169921875,1677.0547821934083,1644.8982154805155,1664.6833868819817,644684,48.37833015883259,-4.989880068440737,1712.4758307199802,1631.3635125417384,4.851448281550604,0.08660861943629738,1
2019-09-20,1791.80859375,1812.048594364767,1646.7173533879616,1658.315555987435,4539742,71.5722223980199,4.1860419272814084,1743.5236693401694,1611.2088868121746,7.888246249933621,0.03553756461152413,1
2019-09-23,1855.485107421875,1910.8834953822989,1804.771395085182,1804.771395085182,3783357,76.61684871486469,13.686965466197227,1786.767127195919,1583.2159294447058,12.080250513432775,0.0052456774394225025,1
2019-09-24,1865.2183837890625,1881.0919581249789,1827.6038423621724,1860.2607650426385,1784798,77.28051393072911,19.41981281818619,1822.2801044287971,1565.027476137609,15.189209847200932,0.0005121117203295,1
2019-09-25,1866.173583984375,1876.1343490942322,1830.1054249954113,1856.6221227941064,1874109,77.34845991318787,21.885919688963895,1850.6355442657455,1552.5865748748797,17.515693008373397,-0.008335397084740181,0
2019-09-26,1850.6182861328125,1887.5505788649273,1834.7446013860529,1869.357320273458,3907951,73.49381241814221,21.071675664328723,1871.9212427482103,1547.0380101814771,19.004802838076674,-0.011551183307151991,0
2019-09-27,1829.241455078125,1859.942583110025,1824.3292523844505,1842.9773449667896,1458672,68.44570188405308,17.8245120065907,1886.7508578009174,1548.837057238145,19.671381371646856,-0.01439652306357242,0
2019-09-30,1802.90673828125,1835.6091933819557,1793.3098591931641,1826.5125623736135,2169407,62.729350937108784,12.865636786999964,1895.7520894146442,1553.389817323637,19.852025886332157,0.00421289622091936,1
2019-10-01,1810.502197265625,1837.428198131124,1803.8616133741416,1809.3195910242903,1080409,63.671733900867956,9.229867517560422,1904.574004182981,1554.4286203287377,20.245453494194486,-0.01419371594525598,0
2019-10-03,1784.804443359375,1805.9541094103965,1781.4386234266185,1805.4537503124784,1423468,58.30067539988159,4.46825665503561,1909.778423915032,1560.1583680771555,20.151378932591438,-0.00909773110373635,0
2019-10-04,1768.5667724609375,1798.6767068042495,1763.9275133372992,1788.3974704157486,1723988,55.13577572484722,-0.15586206092928734,1912.890752008803,1565.9243480888533,19.94738978281483,-0.002134510538615131,0
2019-10-07,1764.791748046875,1785.6229419182605,1753.5119046352395,1768.3393449135622,880275,54.39644695170692,-3.6557071942282278,1914.7213332673152,1574.1273849944034,19.52471865519059,0.004097757971232907,1
2019-10-09,1772.0234375,1785.395438530117,1765.8832125497304,1773.8427634111908,1066739,55.62404590553964,-5.556656900121062,1915.8445142857563,1584.7251878626812,18.91802504145849,0.010651871646555122,1
2019-10-10,1790.8988037109375,1803.4066683717758,1760.7434568836954,1772.023298859127,1492290,58.74558356500244,-5.600062009111099,1918.4227350182946,1594.4001165442055,18.447990813425967,0.018235172509548203,1
2019-10-11,1823.55615234375,1834.6995252987076,1797.0394508178706,1806.4544416773651,1934337,63.52608522919458,-3.5846211888094572,1922.733787051532,1606.4948506437804,17.921136252269832,0.0047886772577727665,1
2019-10-14,1832.28857421875,1847.9347323467614,1825.0112707093795,1839.7023493774893,2135148,64.70387695758907,-1.9030512205686847,1924.32966229118,1623.8972786267889,16.934225948166986,0.02489762232223769,1
2019-10-15,1877.908203125,1889.6429890436675,1842.7953446744064,1864.8091447958332,5761733,70.13035346351163,1.8394971055280038,1929.753597502842,1642.019949860439,16.11152800293349,0.003197059456738538,1
2019-10-16,1883.9119873046875,1892.098953932279,1867.174277700329,1878.7269528576828,1661705,70.7673213567608,4.145252924412915,1933.5203170630898,1661.422346511129,15.137819766028276,0.01586191206937193,1
2019-10-17,1913.79443359375,1917.5694458982266,1875.6794237848803,1880.7280974357607,2001245,73.76598639928211,6.944016065965457,1940.7600939255265,1678.984522773692,14.46375912511435,0.0014260925828641913,1
2019-10-18,1916.523681640625,1924.847009696097,1901.8324901630244,1910.2924009271285,2202270,74.02803132766431,8.156390363371884,1942.959295597813,1702.0421326248431,13.219043543170505,0.009729899602309855,1
2019-10-22,1935.1712646484375,1954.8653756197477,1921.2078517026093,1928.4851541711798,1737401,75.8062243157449,9.308173088270635,1937.8499683073655,1735.7694164582595,11.001714150743394,0.007985593571608218,1
2019-10-23,1950.624755859375,1954.465153716757,1918.3924705463348,1938.0061144079705,1535786,77.19940954290172,10.136545149891539,1954.94426430748,1734.5567366690825,11.946739007798817,4.687250266255383e-05,1
2019-10-24,1950.7161865234375,1965.9407078252482,1936.7259591639374,1957.711188583189,973453,77.20777215469735,9.715310988649918,1968.9887256664458,1730.035383220273,12.919804543695705,0.005507730252567011,1
2019-10-25,1961.460205078125,1971.8841730847805,1947.01278276505,1963.7004183592057,1612038,78.21874235416095,9.190609760445497,1983.3171298701607,1725.3311611454644,13.912668362199748,-0.0024940438560886458,0
2019-10-27,1956.5682373046875,1964.1119634211796,1951.7676843214654,1964.1119634211796,85187,76.55372252105992,7.609763706910172,1995.2996113045683,1722.3881450430881,14.681785246515421,0.009557338509541324,1
2019-10-29,1975.267822265625,1978.6967892598504,1930.6454871327614,1952.2252087124366,1229516,78.44273691626508,6.938030690687469,2010.5485754019624,1719.6041345589751,15.599599451574948,0.004258471179924284,1
2019-10-30,1983.679443359375,1993.3720757761037,1958.625223079089,1993.3720757761037,1195298,79.25250284218365,6.198958473694702,2026.0306481515859,1719.5658606374768,16.364004333888488,0.002743025944994759,1
2019-10-31,1989.1207275390625,2000.0018921079961,1974.4447060396108,1979.656690553806,1752830,79.78158055628418,5.252734094221438,2039.7878324218436,1724.4300752930003,16.755552673106994,0.0018389828901439476,1
2019-11-01,1992.7786865234375,1997.3048786232073,1962.6493158426322,1979.7486110374025,1609685,80.14808419110497,4.100493706731619,2052.3265771201127,1730.1189795205123,17.036998564799894,-0.009727995546419677,0
2019-11-04,1973.3929443359375,1999.6361459176458,1965.75791305471,1992.7782130806143,1523698,72.6336350686142,1.3995877926057574,2057.7642417180728,1743.5401650202084,16.532434294967977,0.006487057587095446,1
2019-11-05,1986.1944580078125,1989.486355130297,1959.677117183371,1969.1411539805101,2167085,74.34425012605384,-0.07948018996476947,2060.4790734897424,1762.5881018032264,15.583873263419079,0.0033609685509194964,1
2019-11-06,1992.8699951171875,1997.03052001523,1970.5131733666763,1980.5714772678518,1093243,75.21430346516718,-1.1059530016706915,2059.6161363095944,1786.2588636904056,14.215608807836382,-0.018903817938352163,0
2019-11-07,1955.1971435546875,2002.5168920307567,1945.8246329869637,2002.5168920307567,1970785,62.36133278448517,-4.622628396063519,2050.4120744552774,1813.7802961501911,12.247411909672042,-0.02424896086807904,0
